Job_Title,Skills,Skills_str
Python Developer,"['c', 'c++', 'mysql', 'numpy', 'python', 'tensorflow', 'unknown']","c, c++, mysql, numpy, python, tensorflow, unknown"
DevOps Engineer,"['aws', 'c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'notprovided', 'plsql', 'python', 'spring', 'sql']","aws, c, css, hibernate, html, java, javascript, jquery, mysql, notprovided, plsql, python, spring, sql"
Python Developer,"['django', 'mysql', 'python']","django, mysql, python"
Python Developer,['python'],python
Java Developer,"['c', 'c++', 'hibernate', 'j2ee', 'mysql', 'postgresql', 'spring']","c, c++, hibernate, j2ee, mysql, postgresql, spring"
Java Developer,"['hibernate', 'java', 'mysql', 'spring']","hibernate, java, mysql, spring"
Java Developer,"['c', 'c++', 'extjavascript', 'java', 'jsp', 'msaccess', 'msexcel', 'mssql', 'oracle', 'plsql', 'sql']","c, c++, extjavascript, java, jsp, msaccess, msexcel, mssql, oracle, plsql, sql"
Jr. Java Developer,"['java', 'javascript']","java, javascript"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Java Developer,"['html', 'j2ee', 'java', 'mysql', 'shellscripting', 'swift']","html, j2ee, java, mysql, shellscripting, swift"
Data Science Consultant,"['datavisualization', 'machinelearning', 'python', 'r studio', 'tableau']","datavisualization, machinelearning, python, r studio, tableau"
Python Developer/analyst,"['c', 'c++', 'django', 'html', 'java', 'mysql', 'python', 'unknown']","c, c++, django, html, java, mysql, python, unknown"
Java Developer,"['c', 'c++', 'hibernate', 'java', 'jsp', 'mysql', 'oracle10g', 'oracle9i', 'servlets', 'sql']","c, c++, hibernate, java, jsp, mysql, oracle10g, oracle9i, servlets, sql"
Data Science Consultant,"['datavisualization', 'machinelearning', 'python', 'r studio', 'tableau']","datavisualization, machinelearning, python, r studio, tableau"
Project Manager,"['aws', 'docker', 'mssqlserveroracle88i', 'python', 'rallyibmtdplatform', 'safeagilecraft', 'selenium', 'visualbasic60']","aws, docker, mssqlserveroracle88i, python, rallyibmtdplatform, safeagilecraft, selenium, visualbasic60"
Cloud Operations Architect (DevOps),"['aws', 'azure', 'notprovided', 'python', 'shellscripting']","aws, azure, notprovided, python, shellscripting"
Java Developer,"['hibernate', 'java', 'mongodb', 'mysql', 'spring']","hibernate, java, mongodb, mysql, spring"
Machine Learning Engineer Intern,"['aws', 'docker', 'fastapi', 'java', 'javascript', 'mongodb', 'postgresql', 'python', 'pytorch', 'react']","aws, docker, fastapi, java, javascript, mongodb, postgresql, python, pytorch, react"
Cloud Operations Architect (DevOps),"['aws', 'azure', 'notprovided', 'python', 'shellscripting']","aws, azure, notprovided, python, shellscripting"
Java Developer,"['derby', 'eclipseoxygen', 'java', 'mysql', 'oracle', 'putty', 'sonarqube']","derby, eclipseoxygen, java, mysql, oracle, putty, sonarqube"
Java Developer,"['c', 'c++', 'ds', 'hibernate', 'java', 'javaj2ee', 'jdbc']","c, c++, ds, hibernate, java, javaj2ee, jdbc"
Senior Business Analyst - RPA,['sql'],sql
Python RESTful API Developer,"['db2400', 'django', 'flask', 'java', 'mongodb', 'mysql', 'pivotalcloudfoundry', 'postgresql', 'python', 'rpg400']","db2400, django, flask, java, mongodb, mysql, pivotalcloudfoundry, postgresql, python, rpg400"
Java Developer,"['angularjs', 'azurewebservices', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'oracle', 'springmvc', 'struts']","angularjs, azurewebservices, ionic3, j2ee, java, mssql, mysql, oracle, springmvc, struts"
SAP Technical Architect,"['fiori', 'odata', 'sapabap', 'sapnetweavergateway']","fiori, odata, sapabap, sapnetweavergateway"
Java Developer,"['c', 'c++', 'hibernate', 'java', 'mysql', 'oracle10g', 'oracle9i', 'spring', 'sql']","c, c++, hibernate, java, mysql, oracle10g, oracle9i, spring, sql"
Java Developer,"['angularjs', 'azurewebservices', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'oracle', 'springmvc']","angularjs, azurewebservices, ionic3, j2ee, java, mssql, mysql, oracle, springmvc"
SAP Technical Architect,"['fiori', 'odata', 'sapabap', 'sapnetweavergateway']","fiori, odata, sapabap, sapnetweavergateway"
Java Developer,"['hibernate', 'java', 'mysql', 'spring']","hibernate, java, mysql, spring"
DevOps Engineer,"['aws', 'c', 'css', 'hibernate', 'html', 'java', 'javascript', 'jquery', 'mysql', 'plsql', 'python', 'spring', 'sql', 'unknown']","aws, c, css, hibernate, html, java, javascript, jquery, mysql, plsql, python, spring, sql, unknown"
Python Developer,"['database', 'django', 'html', 'mysql', 'python', 'restapi', 'unknown']","database, django, html, mysql, python, restapi, unknown"
Devops Engineer,"['c', 'java', 'unknown']","c, java, unknown"
Project Manager,"['asp', 'aspnet', 'microsoftsharepoint', 'notprovided', 'sharepoint', 'sql']","asp, aspnet, microsoftsharepoint, notprovided, sharepoint, sql"
Java Developer,"['angularjs', 'ionic3', 'j2ee', 'java', 'mssql', 'mysql', 'springmvc']","angularjs, ionic3, j2ee, java, mssql, mysql, springmvc"
Python RESTful API developer,"['django', 'flask', 'java', 'mongodb', 'mysql', 'pivotalcloudfoundry', 'postgresql', 'python']","django, flask, java, mongodb, mysql, pivotalcloudfoundry, postgresql, python"
